,name,lat,lon
0,"399, Vassar Avenue, Cragmont, Berkeley, Alameda County, California, 94708, USA",37.90436,-122.272787
1,"6599, Gwin Road, Oakland, Alameda County, California, 94611, USA",37.84764607172644,-122.21607307172643
2,"Denton Place, Oakland, Alameda County, California, M4E 2V5, USA",37.79093214345288,-122.15935914345287
3,"Towhee Trail, Ashland, Alameda County, California, 94578, USA",37.73421821517931,-122.10264521517931
4,"24499, Sarita Street, Fairview, Alameda County, California, 94542, USA",37.67750428690575,-122.04593128690576
5,"Tolman Peak Trail, Union City, Alameda County, California, CA 94587‎, USA",37.62079035863219,-121.98921735863219
6,"Vargas Road, Mission San Jose District, Fremont, Alameda County, California, 94537, USA",37.56407643035863,-121.93250343035862
7,"Bay Area Ridge Trail, Mission San Jose District, Fremont, Alameda County, California, 94539, USA",37.507362502085066,-121.87578950208507
12,"Riley Ridge Road, Alameda County, California, CA 94605, USA",37.79093214345288,-122.06845005254378
13,"Jeep Trail, Brookshire, Alameda County, California, 94552, USA",37.73421821517931,-122.01173612427021
14,"North Ridge Trail, Hayward, Alameda County, California, 94588, USA",37.67750428690575,-121.95502219599666
15,"Thermalito Trail, Pleasanton, Alameda County, California, 94586, USA",37.62079035863219,-121.8983082677231
16,"Scotts Corner, Alameda County, California, 94586, USA",37.56407643035863,-121.84159433944953
17,"Geary Road, Alameda County, California, USA",37.507362502085066,-121.78488041117598
24,"1045, Madsen Court, Shadow Cliffs, Pleasanton, Alameda County, California, 94588, USA",37.67750428690575,-121.86411310508757
25,"Vallecitos Road, Alameda County, California, USA",37.62079035863219,-121.807399176814
26,"Alameda County, California, USA",37.56407643035863,-121.75068524854044
27,"Alameda County, California, USA",37.507362502085066,-121.69397132026688
33,"Doolan Road, Livermore, Alameda County, California, 94568, USA",37.73421821517931,-121.82991794245204
34,"1747, 4th Street, The Meadows, Livermore, Alameda County, California, 94550, USA",37.67750428690575,-121.77320401417849
35,"Alameda County, California, CA 94550, USA",37.62079035863219,-121.71649008590492
36,"Mendenhall Springs, Alameda County, California, USA",37.56407643035863,-121.65977615763136
37,"Alameda County, California, USA",37.507362502085066,-121.6030622293578
43,"Livermore Gun Club, Raymond Road, Saddleback, Ulmar, Alameda County, California, CA 94551, USA",37.73421821517931,-121.73900885154295
44,"Alameda County, California, USA",37.67750428690575,-121.6822949232694
45,"Mendenhall Springs, Alameda County, California, USA",37.62079035863219,-121.62558099499583
46,"Alameda County, California, USA",37.56407643035863,-121.56886706672226
47,"Alameda County, California, USA",37.507362502085066,-121.51215313844871
53,"Altamont, Alameda County, California, USA",37.73421821517931,-121.64809976063385
54,"Alameda County, California, USA",37.67750428690575,-121.5913858323603
62,"Christensen Road, Alameda County, California, USA",37.79093214345288,-121.61390459799833
