,Unnamed: 0,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID,INVDIST
0,50462,US1CAAL0001,37.8123,-122.21600000000001,113.4,CA,PIEDMONT 1.0 SE,,,,0.06789401406379811
1,50463,US1CAAL0002,37.7075,-122.0687,87.5,CA,CASTRO VALLEY 0.5 WSW,,,,0.09583860468168928
2,50464,US1CAAL0003,37.7169,-122.0585,163.4,CA,CASTRO VALLEY 0.4 NNE,,,,0.0975522997706836
3,50465,US1CAAL0004,37.6483,-121.8745,107.0,CA,PLEASANTON 1.8 SSE,,,,0.12340823956560336
4,50466,US1CAAL0006,37.8319,-122.2503,58.2,CA,OAKLAND 4.4 NNW,,,,0.06287881336386607
5,50467,US1CAAL0007,37.515,-121.9523,9.1,CA,FREMONT 2.6 ESE,,,,0.08051461618878267
6,50468,US1CAAL0008,37.8557,-122.2301,268.8,CA,BERKELEY 3.8 ESE,,,,0.0835226593030135
7,50469,US1CAAL0011,37.6821,-122.1332,9.1,CA,SAN LORENZO 0.5 NNW,,,,0.07125996836250492
8,50470,US1CAAL0012,37.6702,-121.8814,104.9,CA,PLEASANTON 0.4 ESE,,,,0.13101904586567004
9,50471,US1CAAL0015,37.7817,-122.2124,39.3,CA,OAKLAND 1.0 NE,,,,0.0649451405965993
10,50472,US1CAAL0016,37.7644,-122.1386,120.4,CA,OAKLAND 7.8 SE,,,,0.08433289872638028
11,50473,US1CAAL0017,37.8414,-122.1978,399.9,CA,OAKLAND 5.0 NNE,,,,0.08305150110762174
12,50474,US1CAAL0018,37.8575,-122.2256,349.9,CA,BERKELEY 4.0 E,,,,0.08731368143322044
13,50475,US1CAAL0020,37.8776,-122.2875,27.1,CA,BERKELEY 0.9 NE,,,,0.05795295619544213
14,50476,US1CAAL0022,37.513000000000005,-121.9691,9.8,CA,FREMONT 1.9 SE,,,,0.0755362461795943
15,50477,US1CAAL0025,37.8947,-122.2965,16.8,CA,ALBANY 1.7 E,,,,0.061022561503758725
16,50478,US1CAAL0030,37.7778,-122.2032,35.4,CA,OAKLAND 1.2 ENE,,,,0.0676882314494858
17,50479,US1CAAL0031,37.5685,-121.9654,25.3,CA,FREMONT 3.3 NNE,,,,0.09920764963090614
18,50480,US1CAAL0032,37.5269,-122.0104,9.1,CA,NEWARK 1.2 ENE,,,,0.06997345105576197
19,50481,US1CAAL0033,37.6889,-122.0857,46.9,CA,CASTRO VALLEY 2.0 SW,,,,0.08874282237032786
20,50482,US1CAAL0035,37.7005,-121.8655,106.1,CA,PLEASANTON 2.3 NNE,,,,0.11739353002273152
21,50483,US1CAAL0039,37.8552,-122.2892,13.7,CA,BERKELEY 0.9 SSE,,,,0.053130455132668536
51,50513,US1CACC0004,37.8783,-122.0338,74.1,CA,WALNUT CREEK 1.7 SSE,,,,0.05626068556865522
52,50514,US1CACC0006,37.8937,-122.1043,75.6,CA,LAFAYETTE 0.7 E,,,,0.0536396349897142
53,50515,US1CACC0007,37.909,-122.1547,250.5,CA,LAFAYETTE 2.3 WNW,,,,0.05154559751922612
55,50517,US1CACC0010,37.8883,-122.1526,157.9,CA,LAFAYETTE 1.9 WSW,,,,0.05575848204909858
56,50518,US1CACC0011,37.9744,-122.1384,210.9,CA,MARTINEZ 2.2 SW,,,,0.04139461323717673
59,50521,US1CACC0014,37.8538,-122.0157,100.9,CA,ALAMO 1.0 WSW,,,,0.06143884915395495
61,50523,US1CACC0018,37.8846,-122.0285,84.4,CA,WALNUT CREEK 1.4 SSE,,,,0.054956246549755935
62,50524,US1CACC0019,37.916,-122.0232,47.5,CA,WALNUT CREEK 1.4 NE,,,,0.0495516311086574
64,50526,US1CACC0025,37.8698,-122.1384,228.0,CA,MORAGA 2.4 NNW,,,,0.05937919662815496
66,50528,US1CACC0028,37.9363,-122.3157,78.6,CA,EL CERRITO 1.3 NW,,,,0.043710787688833984
67,50529,US1CACC0031,37.8911,-122.0811,76.8,CA,WALNUT CREEK 2.3 WSW,,,,0.054003831786940605
68,50530,US1CACC0033,37.7335,-121.9432,125.6,CA,SAN RAMON 1.7 SSE,,,,0.09267376009095721
69,50531,US1CACC0035,37.9133,-122.3162,29.9,CA,RICHMOND 3.6 SE,,,,0.04856763587704186
70,50532,US1CACC0036,37.899,-121.723,55.5,CA,BRENTWOOD 2.5 SSW,,,,0.05076376162705082
72,50534,US1CACC0040,37.9226,-122.3068,41.8,CA,EL CERRITO 0.3 WNW,,,,0.0497355193435467
552,51014,US1CASC0027,37.3859,-121.824,89.3,CA,SAN JOSE 5.8 NNE,,,,0.054524718869535235
723,51185,US1CASJ0007,37.7353,-121.4699,15.8,CA,TRACY 2.1 W,,,,0.05411037227218672
726,51188,US1CASJ0014,37.7232,-121.4403,23.8,CA,TRACY 1.1 SSW,,,,0.05049360128305795
1049,80914,USC00040064,37.8667,-122.0333,125.0,CA,ALAMO 1 N,,,,0.058774586715636574
1117,80982,USC00040693,37.8744,-122.2606,94.5,CA,BERKELEY,,HCN,,0.06230668711246827
1182,81047,USC00041216,37.8667,-122.0833,161.8,CA,BURTON RCH,,,,0.05932134987114282
1192,81057,USC00041281,37.4833,-121.8167,246.9,CA,CALAVERAS RSVR,,,,0.09156142725342156
1214,81079,USC00041582,37.6333,-121.4833,189.0,CA,CASTLE ROCK,,,,0.06344328376902529
1215,81080,USC00041583,37.6333,-121.5,171.0,CA,CASTLE ROCK RAD LAB,,,,0.06754725423592695
1297,81162,USC00042177,38.0333,-122.2167,3.0,CA,CROCKETT,,,,0.03407744223016859
1321,81186,USC00042369,37.4167,-121.3833,366.1,CA,DEL PUERTO ROAD CAMP,,,,0.039035037250235154
1412,81277,USC00043244,37.5422,-122.0158,11.6,CA,FREMONT,,,,0.07240738944728684
1429,81294,USC00043387,37.3667,-121.4833,652.9,CA,GERBER RCH,,,,0.04154461317319836
1467,81332,USC00043652,37.8667,-122.2167,534.0,CA,GRIZZLY PEAK,,,,0.07416285770697494
1491,81356,USC00043862,37.6833,-122.0833,39.3,CA,HAYWARD,,,,0.08930509532248078
1492,81357,USC00043863,37.6667,-122.0,161.5,CA,HAYWARD 4 ESE,,,,0.10600450986993877
1560,81425,USC00044508,37.6833,-121.4333,53.9,CA,KERLINGER,,,,0.05167220605750334
1581,81446,USC00044633,37.9167,-122.1,164.9,CA,LA FAYETTE 2 NNE,,,,0.04955093245692511
1626,81491,USC00044997,37.6922,-121.7692,146.3,CA,LIVERMORE,,HCN,,0.13357446228924758
1627,81492,USC00045000,37.8667,-122.0167,136.9,CA,LIVORNA HEIGHTS,,,,0.05848250423198915
