YearMonth,prcp_bins,0
198001,0mm,14
198001,1-4mm,9
198001,5-14mm,5
198001,15-29mm,3
198001,>30mm,0
198002,0mm,15
198002,1-4mm,4
198002,5-14mm,5
198002,15-29mm,4
198002,>30mm,1
198003,0mm,17
198003,1-4mm,10
198003,5-14mm,4
198003,15-29mm,0
198003,>30mm,0
198004,0mm,17
198004,1-4mm,12
198004,5-14mm,0
198004,15-29mm,1
198004,>30mm,0
198005,0mm,26
198005,1-4mm,4
198005,5-14mm,1
198005,15-29mm,0
198005,>30mm,0
198006,0mm,28
198006,1-4mm,2
198006,5-14mm,0
198006,15-29mm,0
198006,>30mm,0
198007,0mm,28
198007,1-4mm,2
198007,5-14mm,1
198007,15-29mm,0
198007,>30mm,0
198008,0mm,31
198008,1-4mm,0
198008,5-14mm,0
198008,15-29mm,0
198008,>30mm,0
198009,0mm,30
198009,1-4mm,0
198009,5-14mm,0
198009,15-29mm,0
198009,>30mm,0
198010,0mm,27
198010,1-4mm,4
198010,5-14mm,0
198010,15-29mm,0
198010,>30mm,0
198011,0mm,23
198011,1-4mm,7
198011,5-14mm,0
198011,15-29mm,0
198011,>30mm,0
198012,0mm,22
198012,1-4mm,5
198012,5-14mm,3
198012,15-29mm,1
198012,>30mm,0
198101,0mm,13
198101,1-4mm,12
198101,5-14mm,3
198101,15-29mm,2
198101,>30mm,1
198102,0mm,14
198102,1-4mm,12
198102,5-14mm,2
198102,15-29mm,0
198102,>30mm,0
198103,0mm,12
198103,1-4mm,10
198103,5-14mm,9
198103,15-29mm,0
198103,>30mm,0
198104,0mm,24
198104,1-4mm,5
198104,5-14mm,1
198104,15-29mm,0
198104,>30mm,0
198105,0mm,28
198105,1-4mm,3
198105,5-14mm,0
198105,15-29mm,0
198105,>30mm,0
198106,0mm,29
198106,1-4mm,1
198106,5-14mm,0
198106,15-29mm,0
198106,>30mm,0
198107,0mm,31
198107,1-4mm,0
198107,5-14mm,0
198107,15-29mm,0
198107,>30mm,0
198108,0mm,31
198108,1-4mm,0
198108,5-14mm,0
198108,15-29mm,0
198108,>30mm,0
198109,0mm,26
198109,1-4mm,4
198109,5-14mm,0
198109,15-29mm,0
198109,>30mm,0
198110,0mm,21
198110,1-4mm,7
198110,5-14mm,2
198110,15-29mm,1
198110,>30mm,0
