YearMonth,temp_bins,0
198001,30-39F,0
198001,40-49F,0
198001,50-59F,26
198001,60-69F,5
198001,70-79F,0
198001,80-89F,0
198001,90-99F,0
198001,>100F,0
198002,30-39F,0
198002,40-49F,0
198002,50-59F,8
198002,60-69F,21
198002,70-79F,0
198002,80-89F,0
198002,90-99F,0
198002,>100F,0
198003,30-39F,0
198003,40-49F,0
198003,50-59F,8
198003,60-69F,20
198003,70-79F,3
198003,80-89F,0
198003,90-99F,0
198003,>100F,0
198004,30-39F,0
198004,40-49F,0
198004,50-59F,4
198004,60-69F,16
198004,70-79F,10
198004,80-89F,0
198004,90-99F,0
198004,>100F,0
198005,30-39F,0
198005,40-49F,0
198005,50-59F,4
198005,60-69F,17
198005,70-79F,8
198005,80-89F,2
198005,90-99F,0
198005,>100F,0
198006,30-39F,0
198006,40-49F,0
198006,50-59F,0
198006,60-69F,14
198006,70-79F,13
198006,80-89F,2
198006,90-99F,1
198006,>100F,0
198007,30-39F,0
198007,40-49F,0
198007,50-59F,0
198007,60-69F,2
198007,70-79F,13
198007,80-89F,10
198007,90-99F,6
198007,>100F,0
198008,30-39F,0
198008,40-49F,0
198008,50-59F,0
198008,60-69F,1
198008,70-79F,23
198008,80-89F,6
198008,90-99F,1
198008,>100F,0
198009,30-39F,0
198009,40-49F,0
198009,50-59F,0
198009,60-69F,1
198009,70-79F,23
198009,80-89F,4
198009,90-99F,2
198009,>100F,0
198010,30-39F,0
198010,40-49F,0
198010,50-59F,0
198010,60-69F,8
198010,70-79F,14
198010,80-89F,6
198010,90-99F,3
198010,>100F,0
198011,30-39F,0
198011,40-49F,0
198011,50-59F,1
198011,60-69F,23
198011,70-79F,6
198011,80-89F,0
198011,90-99F,0
198011,>100F,0
198012,30-39F,0
198012,40-49F,0
198012,50-59F,22
198012,60-69F,9
198012,70-79F,0
198012,80-89F,0
198012,90-99F,0
198012,>100F,0
198101,30-39F,0
198101,40-49F,0
198101,50-59F,21
198101,60-69F,10
198101,70-79F,0
198101,80-89F,0
198101,90-99F,0
198101,>100F,0
198102,30-39F,0
198102,40-49F,0
198102,50-59F,11
198102,60-69F,16
198102,70-79F,1
198102,80-89F,0
198102,90-99F,0
198102,>100F,0
198103,30-39F,0
198103,40-49F,0
198103,50-59F,12
198103,60-69F,19
198103,70-79F,0
198103,80-89F,0
198103,90-99F,0
198103,>100F,0
198104,30-39F,0
198104,40-49F,0
198104,50-59F,2
198104,60-69F,14
198104,70-79F,11
198104,80-89F,2
198104,90-99F,1
198104,>100F,0
198105,30-39F,0
198105,40-49F,0
198105,50-59F,0
198105,60-69F,11
198105,70-79F,20
198105,80-89F,0
198105,90-99F,0
198105,>100F,0
198106,30-39F,0
198106,40-49F,0
198106,50-59F,0
198106,60-69F,0
198106,70-79F,11
198106,80-89F,10
198106,90-99F,9
198106,>100F,0
198107,30-39F,0
198107,40-49F,0
198107,50-59F,0
198107,60-69F,0
198107,70-79F,17
198107,80-89F,13
198107,90-99F,1
198107,>100F,0
198108,30-39F,0
198108,40-49F,0
198108,50-59F,0
198108,60-69F,0
198108,70-79F,19
198108,80-89F,9
198108,90-99F,3
198108,>100F,0
198109,30-39F,0
198109,40-49F,0
198109,50-59F,0
198109,60-69F,0
198109,70-79F,22
198109,80-89F,8
198109,90-99F,0
198109,>100F,0
198110,30-39F,0
198110,40-49F,0
198110,50-59F,0
198110,60-69F,16
198110,70-79F,14
198110,80-89F,1
198110,90-99F,0
198110,>100F,0
198111,30-39F,0
198111,40-49F,0
198111,50-59F,6
198111,60-69F,20
198111,70-79F,4
198111,80-89F,0
198111,90-99F,0
198111,>100F,0
198112,30-39F,0
198112,40-49F,0
198112,50-59F,24
198112,60-69F,7
198112,70-79F,0
198112,80-89F,0
198112,90-99F,0
198112,>100F,0
198201,30-39F,0
198201,40-49F,10
198201,50-59F,20
198201,60-69F,1
198201,70-79F,0
198201,80-89F,0
198201,90-99F,0
198201,>100F,0
198202,30-39F,0
198202,40-49F,0
198202,50-59F,13
198202,60-69F,14
198202,70-79F,1
