,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
0,US1CAAL0001,37.8123,-122.21600000000001,113.4,CA,PIEDMONT 1.0 SE,,,
1,US1CAAL0002,37.7075,-122.0687,87.5,CA,CASTRO VALLEY 0.5 WSW,,,
2,US1CAAL0003,37.7169,-122.0585,163.4,CA,CASTRO VALLEY 0.4 NNE,,,
3,US1CAAL0004,37.6483,-121.8745,107.0,CA,PLEASANTON 1.8 SSE,,,
4,US1CAAL0006,37.8319,-122.2503,58.2,CA,OAKLAND 4.4 NNW,,,
5,US1CAAL0007,37.515,-121.9523,9.1,CA,FREMONT 2.6 ESE,,,
6,US1CAAL0008,37.8557,-122.2301,268.8,CA,BERKELEY 3.8 ESE,,,
7,US1CAAL0011,37.6821,-122.1332,9.1,CA,SAN LORENZO 0.5 NNW,,,
8,US1CAAL0012,37.6702,-121.8814,104.9,CA,PLEASANTON 0.4 ESE,,,
9,US1CAAL0015,37.7817,-122.2124,39.3,CA,OAKLAND 1.0 NE,,,
10,US1CAAL0016,37.7644,-122.1386,120.4,CA,OAKLAND 7.8 SE,,,
11,US1CAAL0017,37.8414,-122.1978,399.9,CA,OAKLAND 5.0 NNE,,,
12,US1CAAL0018,37.8575,-122.2256,349.9,CA,BERKELEY 4.0 E,,,
13,US1CAAL0020,37.8776,-122.2875,27.1,CA,BERKELEY 0.9 NE,,,
14,US1CAAL0022,37.513000000000005,-121.9691,9.8,CA,FREMONT 1.9 SE,,,
15,US1CAAL0025,37.8947,-122.2965,16.8,CA,ALBANY 1.7 E,,,
16,US1CAAL0030,37.7778,-122.2032,35.4,CA,OAKLAND 1.2 ENE,,,
17,US1CAAL0031,37.5685,-121.9654,25.3,CA,FREMONT 3.3 NNE,,,
18,US1CAAL0032,37.5269,-122.0104,9.1,CA,NEWARK 1.2 ENE,,,
19,US1CAAL0033,37.6889,-122.0857,46.9,CA,CASTRO VALLEY 2.0 SW,,,
20,US1CAAL0035,37.7005,-121.8655,106.1,CA,PLEASANTON 2.3 NNE,,,
21,US1CAAL0039,37.8552,-122.2892,13.7,CA,BERKELEY 0.9 SSE,,,
51,US1CACC0004,37.8783,-122.0338,74.1,CA,WALNUT CREEK 1.7 SSE,,,
52,US1CACC0006,37.8937,-122.1043,75.6,CA,LAFAYETTE 0.7 E,,,
53,US1CACC0007,37.909,-122.1547,250.5,CA,LAFAYETTE 2.3 WNW,,,
55,US1CACC0010,37.8883,-122.1526,157.9,CA,LAFAYETTE 1.9 WSW,,,
56,US1CACC0011,37.9744,-122.1384,210.9,CA,MARTINEZ 2.2 SW,,,
59,US1CACC0014,37.8538,-122.0157,100.9,CA,ALAMO 1.0 WSW,,,
61,US1CACC0018,37.8846,-122.0285,84.4,CA,WALNUT CREEK 1.4 SSE,,,
62,US1CACC0019,37.916,-122.0232,47.5,CA,WALNUT CREEK 1.4 NE,,,
64,US1CACC0025,37.8698,-122.1384,228.0,CA,MORAGA 2.4 NNW,,,
66,US1CACC0028,37.9363,-122.3157,78.6,CA,EL CERRITO 1.3 NW,,,
67,US1CACC0031,37.8911,-122.0811,76.8,CA,WALNUT CREEK 2.3 WSW,,,
68,US1CACC0033,37.7335,-121.9432,125.6,CA,SAN RAMON 1.7 SSE,,,
69,US1CACC0035,37.9133,-122.3162,29.9,CA,RICHMOND 3.6 SE,,,
72,US1CACC0040,37.9226,-122.3068,41.8,CA,EL CERRITO 0.3 WNW,,,
552,US1CASC0027,37.3859,-121.824,89.3,CA,SAN JOSE 5.8 NNE,,,
1049,USC00040064,37.8667,-122.0333,125.0,CA,ALAMO 1 N,,,
1117,USC00040693,37.8744,-122.2606,94.5,CA,BERKELEY,,HCN,
1182,USC00041216,37.8667,-122.0833,161.8,CA,BURTON RCH,,,
1192,USC00041281,37.4833,-121.8167,246.9,CA,CALAVERAS RSVR,,,
1297,USC00042177,38.0333,-122.2167,3.0,CA,CROCKETT,,,
1412,USC00043244,37.5422,-122.0158,11.6,CA,FREMONT,,,
1467,USC00043652,37.8667,-122.2167,534.0,CA,GRIZZLY PEAK,,,
1491,USC00043862,37.6833,-122.0833,39.3,CA,HAYWARD,,,
1492,USC00043863,37.6667,-122.0,161.5,CA,HAYWARD 4 ESE,,,
1581,USC00044633,37.9167,-122.1,164.9,CA,LA FAYETTE 2 NNE,,,
1627,USC00045000,37.8667,-122.0167,136.9,CA,LIVORNA HEIGHTS,,,
1681,USC00045371,37.97,-122.1275,70.1,CA,MARTINEZ 2 S,,,
1735,USC00045915,37.8792,-121.9303,661.4,CA,MT DIABLO JUNCTION,,,
1756,USC00046144,37.5147,-122.0325,3.0,CA,NEWARK,,,
1773,USC00046201,37.5833,-121.9667,21.3,CA,NILES,,,
1783,USC00046332,37.7833,-122.1667,134.1,CA,OAKLAND,,,
1784,USC00046333,37.8,-122.2667,10.7,CA,OAKLAND CITY HALL,,,
1785,USC00046336,37.7983,-122.2642,9.1,CA,OAKLAND MUSEUM,,,
1803,USC00046502,37.8667,-122.1667,167.9,CA,ORINDA BOWMAN,,,
1909,USC00047414,37.9192,-122.3772,6.1,CA,RICHMOND,,,
1910,USC00047416,37.9167,-122.3333,3.0,CA,RICHMOND FLD STN,,,
1925,USC00047661,37.8333,-122.1,189.0,CA,SAINT MARYS COLLEGE,,,
2139,USC00049185,37.7719,-122.1675,120.1,CA,UPPER SAN LEANDRO FILTERS,,,
2165,USC00049423,37.8833,-122.0333,74.7,CA,WALNUT CREEK 2 ESE,,,
2166,USC00049426,37.9,-122.0167,67.1,CA,WALNUT CREEK 2 ENE,,,
2167,USC00049427,37.9,-121.9833,121.9,CA,WALNUT CREEK 4 E,,,
2271,USR0000CBRI,37.9442,-122.1178,442.0,CA,BRIONES CALIFORNIA,,,
2298,USR0000CCLV,37.5531,-121.8439,374.9,CA,CALAVERAS ROAD CALIFORNIA,,,
2403,USR0000CLVR,37.7119,-121.8136,243.8,CA,LIVERMORE CALIFORNIA,,,
2439,USR0000COKN,37.865,-122.2208,427.6,CA,OAKLAND NORTH CALIFORNIA,,,
2441,USR0000COKS,37.7861,-122.1447,333.8,CA,OAKLAND SOUTH CALIFORNIA,,,
2460,USR0000CPOV,37.4431,-121.7706,629.7,CA,POVERTY CALIFORNIA,,,
2474,USR0000CRSP,37.5019,-121.7355,932.7,CA,ROSE PEAK CALIFORNIA,,,
2521,USR0000CTRA,37.8339,-122.0669,536.4,CA,LAS TRAMPAS CALIFORNIA,,,
2634,USW00023230,37.7214,-122.2208,1.8,CA,OAKLAND METRO INTL AP,,,72493.0
2640,USW00023239,37.7333,-122.3167,4.9,CA,ALAMEDA NAS,,,74506.0
2657,USW00023285,37.6928,-121.8144,119.8,CA,LIVERMORE MUNI AP,,,
2703,USW00093211,37.7333,-122.2,2.1,CA,OAKLAND NAS,,,
2714,USW00093228,37.6542,-122.115,13.1,CA,HAYWARD AIR TERMINAL,,,72585.0
