,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
50462,US1CAAL0001,37.8123,-122.216,113.4,CA,PIEDMONT 1.0 SE,,,
50463,US1CAAL0002,37.7075,-122.0687,87.5,CA,CASTRO VALLEY 0.5 WSW,,,
50464,US1CAAL0003,37.7169,-122.0585,163.4,CA,CASTRO VALLEY 0.4 NNE,,,
50465,US1CAAL0004,37.6483,-121.8745,107.0,CA,PLEASANTON 1.8 SSE,,,
50466,US1CAAL0006,37.8319,-122.2503,58.2,CA,OAKLAND 4.4 NNW,,,
50467,US1CAAL0007,37.515,-121.9523,9.1,CA,FREMONT 2.6 ESE,,,
50468,US1CAAL0008,37.8557,-122.2301,268.8,CA,BERKELEY 3.8 ESE,,,
50469,US1CAAL0011,37.6821,-122.1332,9.1,CA,SAN LORENZO 0.5 NNW,,,
50470,US1CAAL0012,37.6702,-121.8814,104.9,CA,PLEASANTON 0.4 ESE,,,
50471,US1CAAL0015,37.7817,-122.2124,39.3,CA,OAKLAND 1.0 NE,,,
50472,US1CAAL0016,37.7644,-122.1386,120.4,CA,OAKLAND 7.8 SE,,,
50473,US1CAAL0017,37.8414,-122.1978,399.9,CA,OAKLAND 5.0 NNE,,,
50474,US1CAAL0018,37.8575,-122.2256,349.9,CA,BERKELEY 4.0 E,,,
50475,US1CAAL0020,37.8776,-122.2875,27.1,CA,BERKELEY 0.9 NE,,,
50476,US1CAAL0022,37.513,-121.9691,9.8,CA,FREMONT 1.9 SE,,,
50477,US1CAAL0025,37.8947,-122.2965,16.8,CA,ALBANY 1.7 E,,,
50478,US1CAAL0030,37.7778,-122.2032,35.4,CA,OAKLAND 1.2 ENE,,,
50479,US1CAAL0031,37.5685,-121.9654,25.3,CA,FREMONT 3.3 NNE,,,
50480,US1CAAL0032,37.5269,-122.0104,9.1,CA,NEWARK 1.2 ENE,,,
50481,US1CAAL0033,37.6889,-122.0857,46.9,CA,CASTRO VALLEY 2.0 SW,,,
50482,US1CAAL0035,37.7005,-121.8655,106.1,CA,PLEASANTON 2.3 NNE,,,
50483,US1CAAL0039,37.8552,-122.2892,13.7,CA,BERKELEY 0.9 SSE,,,
50484,US1CAAM0002,38.4969,-120.5604,1063.1,CA,VOLCANO 5.4 NE,,,
50485,US1CAAM0003,38.4986,-120.5364,1115.3,CA,VOLCANO 6.4 NE,,,
50486,US1CAAM0004,38.3904,-120.8045,385.9,CA,SUTTER CREEK 0.1 WSW,,,
50487,US1CAAM0005,38.5054,-120.4993,1241.5,CA,PIONEER 6.4 NE,,,
50488,US1CAAM0006,38.3892,-120.6412,827.2,CA,PINE GROVE 1.9 SSE,,,
50489,US1CAAM0009,38.4882,-120.6313,739.4,CA,VOLCANO 3.2 N,,,
50490,US1CAAM0010,38.3455,-120.7719,375.5,CA,JACKSON 0.4 S,,,
50491,US1CAAM0011,38.3389,-120.7691,413.0,CA,JACKSON 0.8 SSE,,,
50492,US1CABT0002,39.514,-121.518,163.1,CA,OROVILLE 2.7 ENE,,,
50493,US1CABT0003,39.7339,-121.7604,114.3,CA,CHICO 2.8 ESE,,,
50494,US1CABT0005,39.4932,-121.477,203.6,CA,OROVILLE 4.8 E,,,
50495,US1CABT0007,39.7697,-121.8138,76.5,CA,CHICO 1.2 NNW,,,
50496,US1CABT0008,39.7385,-121.832,64.0,CA,CHICO 1.7 SW,,,
50497,US1CABT0009,39.7494,-121.8614,57.9,CA,CHICO 2.9 W,,,
50498,US1CABT0010,39.859,-121.9048,81.1,CA,CHICO 8.9 NW,,,
50499,US1CABT0011,39.7387,-121.7984,75.6,CA,CHICO 1.1 SSE,,,
50500,US1CABT0012,39.737,-121.832,63.7,CA,CHICO 1.8 SW,,,
50501,US1CABT0013,39.5311,-121.4886,120.1,CA,OROVILLE 4.6 ENE,,,
50502,US1CABT0015,39.7549,-121.7823,110.3,CA,CHICO 1.3 E,,,
50503,US1CABT0016,39.8036,-121.5819,709.3,CA,MAGALIA 2.3 SE,,,
50504,US1CABT0017,39.7999,-121.8915,58.2,CA,CHICO 5.5 NW,,,
50505,US1CABT0018,39.3691,-121.6926,26.2,CA,GRIDLEY 0.4 NNE,,,
50506,US1CABT0019,39.7525,-121.8028,78.3,CA,CHICO 0.2 ESE,,,
50507,US1CABT0023,39.7469,-121.8201,69.5,CA,CHICO 0.8 SW,,,
50508,US1CABT0026,39.3348,-121.6458,28.0,CA,GRIDLEY 3.3 SE,,,
50509,US1CABT0032,39.3946,-121.4047,249.9,CA,BANGOR 0.4 N,,,
50510,US1CABT0033,39.4064,-121.5,84.1,CA,PALERMO 2.7 SE,,,
50511,US1CACC0001,37.9898,-122.1085,76.8,CA,MARTINEZ 0.8 SSE,,,
50512,US1CACC0003,37.9485,-122.0541,17.4,CA,PLEASANT HILL 1.2 ESE,,,
50513,US1CACC0004,37.8783,-122.0338,74.1,CA,WALNUT CREEK 1.7 SSE,,,
50514,US1CACC0006,37.8937,-122.1043,75.6,CA,LAFAYETTE 0.7 E,,,
50515,US1CACC0007,37.909,-122.1547,250.5,CA,LAFAYETTE 2.3 WNW,,,
50516,US1CACC0008,38.0545,-122.2327,64.9,CA,CROCKETT 0.7 WNW,,,
50517,US1CACC0010,37.8883,-122.1526,157.9,CA,LAFAYETTE 1.9 WSW,,,
50518,US1CACC0011,37.9744,-122.1384,210.9,CA,MARTINEZ 2.2 SW,,,
50519,US1CACC0012,37.9786,-121.8381,54.3,CA,ANTIOCH 2.2 WSW,,,
50520,US1CACC0013,37.9884,-121.7477,22.3,CA,OAKLEY 1.7 W,,,
50521,US1CACC0014,37.8538,-122.0157,100.9,CA,ALAMO 1.0 WSW,,,
50522,US1CACC0016,37.9783,-122.0134,37.8,CA,CONCORD 0.8 WNW,,,
50523,US1CACC0018,37.8846,-122.0285,84.4,CA,WALNUT CREEK 1.4 SSE,,,
50524,US1CACC0019,37.916,-122.0232,47.5,CA,WALNUT CREEK 1.4 NE,,,
50525,US1CACC0021,37.9593,-121.7811,74.7,CA,ANTIOCH 2.2 SSE,,,
50526,US1CACC0025,37.8698,-122.1384,228.0,CA,MORAGA 2.4 NNW,,,
50527,US1CACC0027,37.9588,-122.0556,13.1,CA,PLEASANT HILL 1.1 ENE,,,
50528,US1CACC0028,37.9363,-122.3157,78.6,CA,EL CERRITO 1.3 NW,,,
50529,US1CACC0031,37.8911,-122.0811,76.8,CA,WALNUT CREEK 2.3 WSW,,,
50530,US1CACC0033,37.7335,-121.9432,125.6,CA,SAN RAMON 1.7 SSE,,,
50531,US1CACC0035,37.9133,-122.3162,29.9,CA,RICHMOND 3.6 SE,,,
50532,US1CACC0036,37.899,-121.723,55.5,CA,BRENTWOOD 2.5 SSW,,,
50533,US1CACC0037,37.9533,-121.9712,81.4,CA,CONCORD 2.1 SE,,,
50534,US1CACC0040,37.9226,-122.3068,41.8,CA,EL CERRITO 0.3 WNW,,,
50535,US1CACC0041,37.9737,-121.9926,52.7,CA,CONCORD 0.4 E,,,
50536,US1CACL0001,39.349,-122.1771,27.7,CA,MAXWELL 5.1 N,,,
50537,US1CACV0002,38.1967,-120.9728,90.8,CA,WALLACE 0.3 NE,,,
50538,US1CACV0004,38.1652,-120.4124,1021.7,CA,MURPHYS 2.8 ENE,,,
50539,US1CACV0006,38.2423,-120.3118,1230.2,CA,ARNOLD 3.2 ENE,,,
50540,US1CACV0008,38.3804,-120.4735,922.6,CA,WILSEYVILLE 2.2 E,,,
50541,US1CADN0001,41.824,-124.1482,19.8,CA,CRESCENT CITY 5.5 NNE,,,
50542,US1CADN0003,41.9293,-124.1499,20.7,CA,SMITH RIVER 0.2 NW,,,
50543,US1CADN0005,41.7998,-124.1428,29.9,CA,CRESCENT CITY 4.2 NE,,,
50544,US1CADN0006,41.9153,-124.136,36.6,CA,SMITH RIVER 1.1 SSE,,,
50545,US1CADN0007,41.8653,-124.1513,14.9,CA,FORT DICK 0.2 SSW,,,
50546,US1CADN0008,41.8617,-124.1437,29.0,CA,CRESCENT CITY 7.8 NNE,,,
50547,US1CADN0009,41.8711,-124.0636,525.5,CA,CRESCENT CITY 10.6 NE,,,
50548,US1CADN0011,41.7851,-124.1999,9.4,CA,CRESCENT CITY 2.1 N,,,
50549,US1CADN0012,41.5134,-123.9867,44.5,CA,KLAMATH 0.8 SE,,,
50550,US1CADN0013,41.9869,-123.7185,523.3,CA,O'BRIEN 5.6 SSW,,,
50551,US1CAED0001,38.6857,-120.8239,541.9,CA,DIAMOND SPRINGS 0.1 W,,,
50552,US1CAED0002,38.7532,-120.8401,548.6,CA,PLACERVILLE 2.9 WNW,,,
50553,US1CAED0003,38.6953,-120.849,534.9,CA,PLACERVILLE 3.7 SW,,,
50554,US1CAED0006,38.672,-120.9759,431.0,CA,CAMERON PARK 0.9 SE,,,
50555,US1CAED0007,38.5925,-120.6094,1033.3,CA,FAIR PLAY 2.8 ESE,,,
50556,US1CAED0010,38.7392,-120.7846,620.6,CA,PLACERVILLE 0.9 NE,,,
50557,US1CAED0011,38.757,-120.5775,1187.2,CA,POLLOCK PINES 0.5 NW,,,
50558,US1CAED0012,38.7186,-120.634,947.3,CA,CAMINO 2.6 ESE,,,
50559,US1CAED0014,38.7135,-121.0816,213.4,CA,EL DORADO HILLS 1.9 N,,,
50560,US1CAED0017,38.7338,-120.711,887.0,CA,CAMINO 2.0 WSW,,,
50561,US1CAED0018,38.7575,-120.6046,1173.2,CA,POLLOCK PINES 1.9 WNW,,,
50562,US1CAED0020,38.8817,-120.0339,1927.9,CA,SOUTH LAKE TAHOE 4.9 SW,,,
50563,US1CAED0021,38.6954,-121.0745,216.1,CA,EL DORADO HILLS 0.7 NNE,,,
50564,US1CAED0023,38.698,-121.0869,235.0,CA,EL DORADO HILLS 0.9 NNW,,,
50565,US1CAED0027,38.6803,-120.691,788.5,CA,PLACERVILLE 6.6 ESE,,,
50566,US1CAED0029,38.8957,-120.9818,507.8,CA,COOL 2.0 ENE,,,
50567,US1CAFR0001,36.7801,-119.8111,92.4,CA,FRESNO 3.4 SSE,,,
50568,US1CAFR0002,36.8611,-119.6931,116.4,CA,CLOVIS 2.9 N,,,
50569,US1CAFR0003,36.9897,-119.3971,509.9,CA,TOLLHOUSE 2.0 SSE,,,
50570,US1CAFR0005,36.9342,-119.3586,425.8,CA,TOLLHOUSE 6.2 SSE,,,
50571,US1CAFR0006,36.798,-119.5535,127.4,CA,SANGER 6.8 N,,,
50572,US1CAFR0007,36.8362,-119.8293,101.5,CA,FRESNO 4.3 NNW,,,
50573,US1CAFR0008,36.5702,-120.0892,55.8,CA,HELM 2.7 NNE,,,
50574,US1CAFR0009,36.9785,-119.3964,643.4,CA,TOLLHOUSE 2.8 SSE,,,
50575,US1CAFR0013,36.833,-119.6808,114.3,CA,CLOVIS 1.3 NE,,,
50576,US1CAFR0014,36.8053,-119.8222,97.2,CA,FRESNO 2.4 NW,,,
50577,US1CAFR0016,36.7881,-119.6654,109.7,CA,FRESNO 7.1 E,,,
50578,US1CAFR0020,36.8559,-119.7412,110.9,CA,FRESNO 5.9 NNE,,,
50579,US1CAFR0021,36.6889,-119.1873,399.0,CA,SQUAW VALLEY 0.6 SE,,,
50580,US1CAFR0022,36.6857,-119.1393,759.6,CA,SQUAW VALLEY 3.1 ESE,,,
50581,US1CAFR0026,36.8768,-119.7435,117.7,CA,FRESNO 7.2 NNE,,,
50582,US1CAFR0028,37.0702,-119.5103,609.6,CA,AUBERRY 1.1 WSW,,,
50583,US1CAHM0001,40.8809,-124.0692,128.0,CA,ARCATA 1.1 NE,,,
50584,US1CAHM0002,40.8248,-124.0382,23.5,CA,BAYSIDE 1.8 SE,,,
50585,US1CAHM0003,41.2084,-124.1027,172.8,CA,ORICK 5.9 SSW,,,
50586,US1CAHM0004,40.9231,-124.084,99.1,CA,MCKINLEYVILLE 2.7 SE,,,
50587,US1CAHM0005,40.8962,-123.9984,111.6,CA,MCKINLEYVILLE 7.3 ESE,,,
50588,US1CAHM0006,41.0783,-124.1517,61.3,CA,TRINIDAD 1.5 NNW,,,
50589,US1CAHM0007,40.2516,-124.1823,96.3,CA,HONEYDEW 3.1 WNW,,,
50590,US1CAHM0009,40.9778,-124.086,82.3,CA,MCKINLEYVILLE 2.3 NE,,,
50591,US1CAHM0010,40.1082,-123.9007,186.5,CA,REDWAY 4.3 W,,,
50592,US1CAHM0011,40.5728,-124.1444,39.0,CA,FORTUNA 0.9 SSW,,,
