,YearMonth,prcp_bins,0
0,198001,0mm,0
1,198001,1-4mm,31
2,198001,5-14mm,0
3,198002,0mm,0
4,198002,1-4mm,28
5,198002,5-14mm,1
6,198003,0mm,0
7,198003,1-4mm,31
8,198003,5-14mm,0
9,198004,0mm,0
10,198004,1-4mm,30
11,198004,5-14mm,0
12,198005,0mm,0
13,198005,1-4mm,31
14,198005,5-14mm,0
15,198006,0mm,0
16,198006,1-4mm,30
17,198006,5-14mm,0
18,198007,0mm,0
19,198007,1-4mm,31
20,198007,5-14mm,0
21,198008,0mm,0
22,198008,1-4mm,31
23,198008,5-14mm,0
24,198009,0mm,0
25,198009,1-4mm,30
26,198009,5-14mm,0
27,198010,0mm,0
28,198010,1-4mm,31
29,198010,5-14mm,0
30,198011,0mm,0
31,198011,1-4mm,30
32,198011,5-14mm,0
33,198012,0mm,0
34,198012,1-4mm,31
35,198012,5-14mm,0
36,198101,0mm,0
37,198101,1-4mm,30
38,198101,5-14mm,1
39,198102,0mm,0
40,198102,1-4mm,28
41,198102,5-14mm,0
42,198103,0mm,0
43,198103,1-4mm,31
44,198103,5-14mm,0
45,198104,0mm,0
46,198104,1-4mm,30
47,198104,5-14mm,0
48,198105,0mm,0
49,198105,1-4mm,31
50,198105,5-14mm,0
51,198106,0mm,0
52,198106,1-4mm,30
53,198106,5-14mm,0
54,198107,0mm,0
55,198107,1-4mm,31
56,198107,5-14mm,0
57,198108,0mm,0
58,198108,1-4mm,31
59,198108,5-14mm,0
60,198109,0mm,0
61,198109,1-4mm,30
62,198109,5-14mm,0
63,198110,0mm,0
64,198110,1-4mm,31
65,198110,5-14mm,0
66,198111,0mm,0
67,198111,1-4mm,30
68,198111,5-14mm,0
69,198112,0mm,0
70,198112,1-4mm,31
71,198112,5-14mm,0
72,198201,0mm,0
73,198201,1-4mm,29
74,198201,5-14mm,2
75,198202,0mm,0
76,198202,1-4mm,27
77,198202,5-14mm,1
78,198203,0mm,0
79,198203,1-4mm,31
80,198203,5-14mm,0
81,198204,0mm,0
82,198204,1-4mm,30
83,198204,5-14mm,0
84,198205,0mm,0
85,198205,1-4mm,31
86,198205,5-14mm,0
87,198206,0mm,0
88,198206,1-4mm,30
89,198206,5-14mm,0
90,198207,0mm,0
91,198207,1-4mm,31
92,198207,5-14mm,0
93,198208,0mm,0
94,198208,1-4mm,31
95,198208,5-14mm,0
96,198209,0mm,0
97,198209,1-4mm,30
98,198209,5-14mm,0
99,198210,0mm,0
100,198210,1-4mm,31
101,198210,5-14mm,0
102,198211,0mm,0
103,198211,1-4mm,29
104,198211,5-14mm,1
105,198212,0mm,0
106,198212,1-4mm,31
107,198212,5-14mm,0
108,198301,0mm,0
109,198301,1-4mm,31
110,198301,5-14mm,0
111,198302,0mm,0
112,198302,1-4mm,28
113,198302,5-14mm,0
114,198303,0mm,0
115,198303,1-4mm,31
116,198303,5-14mm,0
117,198304,0mm,0
118,198304,1-4mm,30
119,198304,5-14mm,0
120,198305,0mm,0
121,198305,1-4mm,31
122,198305,5-14mm,0
123,198306,0mm,0
124,198306,1-4mm,30
125,198306,5-14mm,0
126,198307,0mm,0
127,198307,1-4mm,31
128,198307,5-14mm,0
129,198308,0mm,0
130,198308,1-4mm,31
131,198308,5-14mm,0
132,198309,0mm,0
133,198309,1-4mm,30
134,198309,5-14mm,0
135,198310,0mm,0
136,198310,1-4mm,31
137,198310,5-14mm,0
138,198311,0mm,0
139,198311,1-4mm,30
140,198311,5-14mm,0
141,198312,0mm,0
142,198312,1-4mm,31
143,198312,5-14mm,0
144,198401,0mm,0
145,198401,1-4mm,31
146,198401,5-14mm,0
147,198402,0mm,0
148,198402,1-4mm,29
149,198402,5-14mm,0
150,198403,0mm,0
151,198403,1-4mm,31
152,198403,5-14mm,0
153,198404,0mm,0
154,198404,1-4mm,30
155,198404,5-14mm,0
156,198405,0mm,0
157,198405,1-4mm,31
158,198405,5-14mm,0
159,198406,0mm,0
160,198406,1-4mm,30
161,198406,5-14mm,0
162,198407,0mm,0
163,198407,1-4mm,31
164,198407,5-14mm,0
165,198408,0mm,0
166,198408,1-4mm,31
167,198408,5-14mm,0
168,198409,0mm,0
169,198409,1-4mm,30
170,198409,5-14mm,0
171,198410,0mm,0
172,198410,1-4mm,31
173,198410,5-14mm,0
174,198411,0mm,0
175,198411,1-4mm,30
176,198411,5-14mm,0
177,198412,0mm,0
178,198412,1-4mm,31
179,198412,5-14mm,0
180,198501,0mm,0
181,198501,1-4mm,31
182,198501,5-14mm,0
183,198502,0mm,0
184,198502,1-4mm,28
185,198502,5-14mm,0
186,198503,0mm,0
187,198503,1-4mm,31
188,198503,5-14mm,0
189,198504,0mm,0
