,YearMonth,temp_bins,0
0,198001,20-29F,0
1,198001,30-39F,0
2,198001,40-49F,8
3,198001,50-59F,20
4,198001,60-69F,3
5,198001,70-79F,0
6,198001,80-89F,0
7,198001,90-99F,0
8,198001,>100F,0
9,198002,20-29F,0
10,198002,30-39F,0
11,198002,40-49F,0
12,198002,50-59F,20
13,198002,60-69F,9
14,198002,70-79F,0
15,198002,80-89F,0
16,198002,90-99F,0
17,198002,>100F,0
18,198003,20-29F,0
19,198003,30-39F,0
20,198003,40-49F,0
21,198003,50-59F,11
22,198003,60-69F,19
23,198003,70-79F,1
24,198003,80-89F,0
25,198003,90-99F,0
26,198003,>100F,0
27,198004,20-29F,0
28,198004,30-39F,0
29,198004,40-49F,0
30,198004,50-59F,6
31,198004,60-69F,13
32,198004,70-79F,8
33,198004,80-89F,3
34,198004,90-99F,0
35,198004,>100F,0
36,198005,20-29F,0
37,198005,30-39F,0
38,198005,40-49F,0
39,198005,50-59F,2
40,198005,60-69F,13
41,198005,70-79F,12
42,198005,80-89F,3
43,198005,90-99F,1
44,198005,>100F,0
45,198006,20-29F,0
46,198006,30-39F,0
47,198006,40-49F,0
48,198006,50-59F,0
49,198006,60-69F,8
50,198006,70-79F,12
51,198006,80-89F,8
52,198006,90-99F,2
53,198006,>100F,0
54,198007,20-29F,0
55,198007,30-39F,0
56,198007,40-49F,0
57,198007,50-59F,0
58,198007,60-69F,1
59,198007,70-79F,9
60,198007,80-89F,7
61,198007,90-99F,9
62,198007,>100F,5
63,198008,20-29F,0
64,198008,30-39F,0
65,198008,40-49F,0
66,198008,50-59F,0
67,198008,60-69F,0
68,198008,70-79F,7
69,198008,80-89F,16
70,198008,90-99F,7
71,198008,>100F,1
72,198009,20-29F,0
73,198009,30-39F,0
74,198009,40-49F,0
75,198009,50-59F,0
76,198009,60-69F,1
77,198009,70-79F,10
78,198009,80-89F,15
79,198009,90-99F,4
80,198009,>100F,0
81,198010,20-29F,0
82,198010,30-39F,0
83,198010,40-49F,0
84,198010,50-59F,0
85,198010,60-69F,9
86,198010,70-79F,12
87,198010,80-89F,1
88,198010,90-99F,7
89,198010,>100F,2
90,198011,20-29F,0
91,198011,30-39F,0
92,198011,40-49F,0
93,198011,50-59F,7
94,198011,60-69F,17
95,198011,70-79F,6
96,198011,80-89F,0
97,198011,90-99F,0
98,198011,>100F,0
99,198012,20-29F,0
100,198012,30-39F,0
101,198012,40-49F,5
102,198012,50-59F,23
103,198012,60-69F,3
104,198012,70-79F,0
105,198012,80-89F,0
106,198012,90-99F,0
107,198012,>100F,0
108,198101,20-29F,0
109,198101,30-39F,0
110,198101,40-49F,9
111,198101,50-59F,16
112,198101,60-69F,6
113,198101,70-79F,0
114,198101,80-89F,0
115,198101,90-99F,0
116,198101,>100F,0
117,198102,20-29F,0
118,198102,30-39F,0
119,198102,40-49F,1
120,198102,50-59F,14
121,198102,60-69F,13
122,198102,70-79F,0
123,198102,80-89F,0
124,198102,90-99F,0
125,198102,>100F,0
126,198103,20-29F,0
127,198103,30-39F,0
128,198103,40-49F,0
129,198103,50-59F,14
130,198103,60-69F,16
131,198103,70-79F,1
