,YearMonth,temp_bins,0
0,198001,30-39F,0
1,198001,40-49F,0
2,198001,50-59F,25
3,198001,60-69F,6
4,198001,70-79F,0
5,198001,80-89F,0
6,198001,90-99F,0
7,198001,>100F,0
8,198002,30-39F,0
9,198002,40-49F,0
10,198002,50-59F,7
11,198002,60-69F,22
12,198002,70-79F,0
13,198002,80-89F,0
14,198002,90-99F,0
15,198002,>100F,0
16,198003,30-39F,0
17,198003,40-49F,0
18,198003,50-59F,9
19,198003,60-69F,20
20,198003,70-79F,2
21,198003,80-89F,0
22,198003,90-99F,0
23,198003,>100F,0
24,198004,30-39F,0
25,198004,40-49F,0
26,198004,50-59F,5
27,198004,60-69F,21
28,198004,70-79F,4
29,198004,80-89F,0
30,198004,90-99F,0
31,198004,>100F,0
32,198005,30-39F,0
33,198005,40-49F,0
34,198005,50-59F,4
35,198005,60-69F,23
36,198005,70-79F,4
37,198005,80-89F,0
38,198005,90-99F,0
39,198005,>100F,0
40,198006,30-39F,0
41,198006,40-49F,0
42,198006,50-59F,0
43,198006,60-69F,20
44,198006,70-79F,8
45,198006,80-89F,2
46,198006,90-99F,0
47,198006,>100F,0
48,198007,30-39F,0
49,198007,40-49F,0
50,198007,50-59F,0
51,198007,60-69F,9
52,198007,70-79F,14
53,198007,80-89F,8
54,198007,90-99F,0
55,198007,>100F,0
56,198008,30-39F,0
57,198008,40-49F,0
58,198008,50-59F,0
59,198008,60-69F,11
60,198008,70-79F,18
61,198008,80-89F,2
62,198008,90-99F,0
63,198008,>100F,0
64,198009,30-39F,0
65,198009,40-49F,0
66,198009,50-59F,0
67,198009,60-69F,11
68,198009,70-79F,13
69,198009,80-89F,5
70,198009,90-99F,1
71,198009,>100F,0
72,198010,30-39F,0
73,198010,40-49F,0
74,198010,50-59F,0
75,198010,60-69F,13
76,198010,70-79F,13
77,198010,80-89F,2
78,198010,90-99F,3
79,198010,>100F,0
80,198011,30-39F,0
81,198011,40-49F,0
82,198011,50-59F,0
83,198011,60-69F,26
84,198011,70-79F,4
85,198011,80-89F,0
86,198011,90-99F,0
87,198011,>100F,0
88,198012,30-39F,0
89,198012,40-49F,0
90,198012,50-59F,18
91,198012,60-69F,13
92,198012,70-79F,0
93,198012,80-89F,0
94,198012,90-99F,0
95,198012,>100F,0
96,198101,30-39F,0
97,198101,40-49F,0
98,198101,50-59F,22
99,198101,60-69F,9
100,198101,70-79F,0
101,198101,80-89F,0
102,198101,90-99F,0
103,198101,>100F,0
104,198102,30-39F,0
105,198102,40-49F,0
106,198102,50-59F,10
107,198102,60-69F,17
108,198102,70-79F,1
109,198102,80-89F,0
110,198102,90-99F,0
111,198102,>100F,0
112,198103,30-39F,0
113,198103,40-49F,0
114,198103,50-59F,13
115,198103,60-69F,18
116,198103,70-79F,0
117,198103,80-89F,0
118,198103,90-99F,0
119,198103,>100F,0
120,198104,30-39F,0
121,198104,40-49F,0
122,198104,50-59F,2
123,198104,60-69F,21
124,198104,70-79F,4
125,198104,80-89F,2
126,198104,90-99F,1
127,198104,>100F,0
128,198105,30-39F,0
129,198105,40-49F,0
130,198105,50-59F,0
131,198105,60-69F,14
132,198105,70-79F,17
133,198105,80-89F,0
134,198105,90-99F,0
135,198105,>100F,0
136,198106,30-39F,0
137,198106,40-49F,0
138,198106,50-59F,0
139,198106,60-69F,1
140,198106,70-79F,18
141,198106,80-89F,7
142,198106,90-99F,4
143,198106,>100F,0
144,198107,30-39F,0
145,198107,40-49F,0
146,198107,50-59F,0
147,198107,60-69F,7
148,198107,70-79F,17
149,198107,80-89F,6
150,198107,90-99F,1
151,198107,>100F,0
152,198108,30-39F,0
153,198108,40-49F,0
154,198108,50-59F,0
155,198108,60-69F,6
156,198108,70-79F,19
157,198108,80-89F,6
158,198108,90-99F,0
159,198108,>100F,0
160,198109,30-39F,0
161,198109,40-49F,0
162,198109,50-59F,0
163,198109,60-69F,1
164,198109,70-79F,28
165,198109,80-89F,1
