YearMonth,temp_bins,0
198001,40-49F,0
198001,50-59F,19
198001,60-69F,12
198001,70-79F,0
198001,80-89F,0
198001,90-99F,0
198001,>100F,0
198002,40-49F,0
198002,50-59F,3
198002,60-69F,26
198002,70-79F,0
198002,80-89F,0
198002,90-99F,0
198002,>100F,0
198003,40-49F,0
198003,50-59F,4
198003,60-69F,21
198003,70-79F,6
198003,80-89F,0
198003,90-99F,0
198003,>100F,0
198004,40-49F,0
198004,50-59F,4
198004,60-69F,20
198004,70-79F,5
198004,80-89F,1
198004,90-99F,0
198004,>100F,0
198005,40-49F,0
198005,50-59F,3
198005,60-69F,23
198005,70-79F,5
198005,80-89F,0
198005,90-99F,0
198005,>100F,0
198006,40-49F,0
198006,50-59F,0
198006,60-69F,18
198006,70-79F,10
198006,80-89F,2
198006,90-99F,0
198006,>100F,0
198007,40-49F,0
198007,50-59F,0
198007,60-69F,13
198007,70-79F,13
198007,80-89F,5
198007,90-99F,0
198007,>100F,0
198008,40-49F,0
198008,50-59F,1
198008,60-69F,20
198008,70-79F,9
198008,80-89F,1
198008,90-99F,0
198008,>100F,0
198009,40-49F,0
198009,50-59F,0
198009,60-69F,15
198009,70-79F,10
198009,80-89F,4
198009,90-99F,1
198009,>100F,0
198010,40-49F,0
198010,50-59F,0
198010,60-69F,12
198010,70-79F,14
198010,80-89F,1
198010,90-99F,3
198010,>100F,1
198011,40-49F,0
198011,50-59F,1
198011,60-69F,20
198011,70-79F,7
198011,80-89F,2
198011,90-99F,0
198011,>100F,0
198012,40-49F,0
198012,50-59F,6
198012,60-69F,23
198012,70-79F,2
198012,80-89F,0
198012,90-99F,0
198012,>100F,0
198101,40-49F,0
198101,50-59F,16
198101,60-69F,15
198101,70-79F,0
198101,80-89F,0
198101,90-99F,0
198101,>100F,0
198102,40-49F,0
198102,50-59F,6
198102,60-69F,19
198102,70-79F,3
198102,80-89F,0
198102,90-99F,0
198102,>100F,0
198103,40-49F,0
198103,50-59F,6
198103,60-69F,24
198103,70-79F,1
198103,80-89F,0
198103,90-99F,0
198103,>100F,0
198104,40-49F,0
198104,50-59F,2
198104,60-69F,19
198104,70-79F,7
198104,80-89F,0
198104,90-99F,2
198104,>100F,0
198105,40-49F,0
198105,50-59F,0
198105,60-69F,17
198105,70-79F,13
198105,80-89F,1
198105,90-99F,0
198105,>100F,0
198106,40-49F,0
198106,50-59F,0
198106,60-69F,5
198106,70-79F,15
198106,80-89F,7
198106,90-99F,3
198106,>100F,0
198107,40-49F,0
198107,50-59F,0
198107,60-69F,16
198107,70-79F,10
198107,80-89F,4
198107,90-99F,1
198107,>100F,0
198108,40-49F,0
198108,50-59F,0
198108,60-69F,9
198108,70-79F,19
198108,80-89F,3
198108,90-99F,0
198108,>100F,0
198109,40-49F,0
198109,50-59F,0
198109,60-69F,11
198109,70-79F,15
198109,80-89F,4
198109,90-99F,0
198109,>100F,0
198110,40-49F,0
198110,50-59F,0
198110,60-69F,17
198110,70-79F,13
198110,80-89F,1
198110,90-99F,0
198110,>100F,0
198111,40-49F,0
198111,50-59F,5
198111,60-69F,21
198111,70-79F,4
198111,80-89F,0
198111,90-99F,0
198111,>100F,0
198112,40-49F,0
198112,50-59F,14
198112,60-69F,17
198112,70-79F,0
198112,80-89F,0
198112,90-99F,0
198112,>100F,0
198201,40-49F,3
198201,50-59F,18
198201,60-69F,10
198201,70-79F,0
198201,80-89F,0
198201,90-99F,0
198201,>100F,0
198202,40-49F,0
198202,50-59F,8
198202,60-69F,17
198202,70-79F,3
198202,80-89F,0
198202,90-99F,0
198202,>100F,0
198203,40-49F,0
198203,50-59F,11
198203,60-69F,20
198203,70-79F,0
198203,80-89F,0
198203,90-99F,0
198203,>100F,0
198204,40-49F,1
198204,50-59F,6
198204,60-69F,16
198204,70-79F,6
198204,80-89F,1
198204,90-99F,0
198204,>100F,0
198205,40-49F,0
198205,50-59F,3
198205,60-69F,20
198205,70-79F,6
198205,80-89F,2
198205,90-99F,0
198205,>100F,0
198206,40-49F,0
198206,50-59F,2
198206,60-69F,25
198206,70-79F,3
198206,80-89F,0
198206,90-99F,0
198206,>100F,0
198207,40-49F,0
198207,50-59F,0
198207,60-69F,16
198207,70-79F,14
198207,80-89F,1
198207,90-99F,0
198207,>100F,0
198208,40-49F,0
198208,50-59F,0
198208,60-69F,11
198208,70-79F,19
198208,80-89F,0
198208,90-99F,1
198208,>100F,0
198209,40-49F,0
198209,50-59F,0
198209,60-69F,6
198209,70-79F,18
198209,80-89F,6
198209,90-99F,0
198209,>100F,0
198210,40-49F,0
198210,50-59F,0
198210,60-69F,10
198210,70-79F,18
198210,80-89F,3
198210,90-99F,0
198210,>100F,0
198212,40-49F,0
198212,50-59F,14
198212,60-69F,17
198212,70-79F,0
198212,80-89F,0
198212,90-99F,0
198212,>100F,0
198301,40-49F,0
198301,50-59F,21
198301,60-69F,10
198301,70-79F,0
198301,80-89F,0
198301,90-99F,0
198301,>100F,0
198302,40-49F,0
198302,50-59F,8
198302,60-69F,20
198302,70-79F,0
198302,80-89F,0
198302,90-99F,0
198302,>100F,0
198303,40-49F,0
198303,50-59F,10
198303,60-69F,19
198303,70-79F,2
198303,80-89F,0
198303,90-99F,0
198303,>100F,0
198304,40-49F,0
198304,50-59F,6
198304,60-69F,21
198304,70-79F,3
198304,80-89F,0
198304,90-99F,0
198304,>100F,0
198305,40-49F,0
198305,50-59F,1
198305,60-69F,19
198305,70-79F,8
198305,80-89F,2
198305,90-99F,0
198305,>100F,0
198306,40-49F,0
198306,50-59F,0
198306,60-69F,8
198306,70-79F,18
198306,80-89F,4
198306,90-99F,0
198306,>100F,0
198307,40-49F,0
198307,50-59F,0
198307,60-69F,6
198307,70-79F,20
198307,80-89F,4
198307,90-99F,1
198307,>100F,0
198308,40-49F,0
198308,50-59F,0
198308,60-69F,2
198308,70-79F,24
198308,80-89F,4
198308,90-99F,1
198308,>100F,0
198309,40-49F,0
198309,50-59F,0
198309,60-69F,3
198309,70-79F,14
198309,80-89F,9
198309,90-99F,4
198309,>100F,0
198310,40-49F,0
198310,50-59F,0
198310,60-69F,6
198310,70-79F,21
198310,80-89F,4
198310,90-99F,0
198310,>100F,0
198311,40-49F,0
198311,50-59F,9
198311,60-69F,18
198311,70-79F,3
198311,80-89F,0
198311,90-99F,0
198311,>100F,0
198312,40-49F,0
198312,50-59F,17
198312,60-69F,14
198312,70-79F,0
198312,80-89F,0
198312,90-99F,0
198312,>100F,0
198401,40-49F,0
198401,50-59F,16
198401,60-69F,10
198401,70-79F,5
198401,80-89F,0
198401,90-99F,0
198401,>100F,0
198402,40-49F,0
198402,50-59F,10
198402,60-69F,18
198402,70-79F,1
198402,80-89F,0
198402,90-99F,0
198402,>100F,0
198403,40-49F,0
198403,50-59F,1
198403,60-69F,22
198403,70-79F,8
198403,80-89F,0
198403,90-99F,0
198403,>100F,0
198404,40-49F,0
198404,50-59F,1
198404,60-69F,25
198404,70-79F,3
198404,80-89F,1
198404,90-99F,0
198404,>100F,0
198405,40-49F,0
198405,50-59F,0
198405,60-69F,8
198405,70-79F,17
198405,80-89F,5
198405,90-99F,1
198405,>100F,0
198406,40-49F,0
198406,50-59F,1
198406,60-69F,11
198406,70-79F,16
198406,80-89F,2
198406,90-99F,0
198406,>100F,0
198407,40-49F,0
198407,50-59F,0
198407,60-69F,7
198407,70-79F,18
198407,80-89F,6
198407,90-99F,0
198407,>100F,0
198408,40-49F,0
198408,50-59F,0
198408,60-69F,4
198408,70-79F,24
198408,80-89F,2
198408,90-99F,1
198408,>100F,0
198409,40-49F,0
198409,50-59F,0
198409,60-69F,1
198409,70-79F,11
198409,80-89F,12
198409,90-99F,5
198409,>100F,1
198410,40-49F,0
198410,50-59F,1
198410,60-69F,15
198410,70-79F,14
198410,80-89F,1
198410,90-99F,0
198410,>100F,0
198411,40-49F,0
198411,50-59F,13
198411,60-69F,16
198411,70-79F,1
198411,80-89F,0
198411,90-99F,0
198411,>100F,0
198412,40-49F,2
198412,50-59F,23
198412,60-69F,6
198412,70-79F,0
198412,80-89F,0
198412,90-99F,0
198412,>100F,0
198501,40-49F,0
198501,50-59F,26
198501,60-69F,5
198501,70-79F,0
198501,80-89F,0
198501,90-99F,0
198501,>100F,0
198502,40-49F,0
198502,50-59F,10
198502,60-69F,13
198502,70-79F,5
198502,80-89F,0
198502,90-99F,0
198502,>100F,0
198503,40-49F,0
198503,50-59F,16
198503,60-69F,14
198503,70-79F,1
198503,80-89F,0
198503,90-99F,0
198503,>100F,0
198504,40-49F,0
198504,50-59F,4
198504,60-69F,14
198504,70-79F,7
198504,80-89F,5
198504,90-99F,0
198504,>100F,0
198505,40-49F,0
198505,50-59F,1
198505,60-69F,24
198505,70-79F,5
198505,80-89F,1
198505,90-99F,0
198505,>100F,0
198506,40-49F,0
198506,50-59F,0
198506,60-69F,11
198506,70-79F,16
198506,80-89F,3
198506,90-99F,0
198506,>100F,0
198507,40-49F,0
198507,50-59F,0
198507,60-69F,13
198507,70-79F,12
198507,80-89F,3
198507,90-99F,3
198507,>100F,0
198508,40-49F,0
198508,50-59F,0
198508,60-69F,10
198508,70-79F,17
198508,80-89F,4
198508,90-99F,0
198508,>100F,0
198509,40-49F,0
198509,50-59F,0
198509,60-69F,12
198509,70-79F,16
198509,80-89F,2
198509,90-99F,0
198509,>100F,0
198510,40-49F,0
198510,50-59F,1
198510,60-69F,15
198510,70-79F,9
198510,80-89F,5
198510,90-99F,1
198510,>100F,0
198511,40-49F,0
198511,50-59F,18
198511,60-69F,6
198511,70-79F,5
198511,80-89F,1
198511,90-99F,0
198511,>100F,0
198512,40-49F,2
198512,50-59F,18
198512,60-69F,11
198512,70-79F,0
198512,80-89F,0
198512,90-99F,0
198512,>100F,0
198601,40-49F,0
198601,50-59F,10
198601,60-69F,21
198601,70-79F,0
198601,80-89F,0
198601,90-99F,0
198601,>100F,0
198602,40-49F,0
198602,50-59F,6
198602,60-69F,17
198602,70-79F,5
198602,80-89F,0
198602,90-99F,0
198602,>100F,0
198603,40-49F,0
198603,50-59F,6
198603,60-69F,19
198603,70-79F,6
198603,80-89F,0
198603,90-99F,0
198603,>100F,0
198604,40-49F,0
198604,50-59F,4
198604,60-69F,21
198604,70-79F,4
198604,80-89F,1
198604,90-99F,0
198604,>100F,0
198605,40-49F,0
198605,50-59F,0
198605,60-69F,18
198605,70-79F,13
198605,80-89F,0
198605,90-99F,0
198605,>100F,0
198606,40-49F,0
198606,50-59F,0
198606,60-69F,16
198606,70-79F,12
198606,80-89F,2
198606,90-99F,0
198606,>100F,0
198607,40-49F,0
198607,50-59F,0
198607,60-69F,13
198607,70-79F,15
198607,80-89F,3
198607,90-99F,0
198607,>100F,0
198608,40-49F,0
198608,50-59F,0
198608,60-69F,17
198608,70-79F,14
198608,80-89F,0
198608,90-99F,0
198608,>100F,0
198609,40-49F,0
198609,50-59F,0
198609,60-69F,17
198609,70-79F,12
198609,80-89F,1
198609,90-99F,0
198609,>100F,0
198610,40-49F,0
198610,50-59F,1
198610,60-69F,12
198610,70-79F,12
198610,80-89F,6
198610,90-99F,0
198610,>100F,0
198611,40-49F,0
198611,50-59F,0
198611,60-69F,19
198611,70-79F,11
198611,80-89F,0
198611,90-99F,0
198611,>100F,0
198612,40-49F,0
198612,50-59F,15
198612,60-69F,16
198612,70-79F,0
198612,80-89F,0
198612,90-99F,0
198612,>100F,0
198701,40-49F,1
198701,50-59F,20
198701,60-69F,10
198701,70-79F,0
198701,80-89F,0
198701,90-99F,0
198701,>100F,0
198702,40-49F,0
198702,50-59F,8
198702,60-69F,16
198702,70-79F,4
198702,80-89F,0
198702,90-99F,0
198702,>100F,0
198703,40-49F,0
198703,50-59F,5
198703,60-69F,19
198703,70-79F,7
198703,80-89F,0
198703,90-99F,0
198703,>100F,0
198704,40-49F,0
198704,50-59F,0
198704,60-69F,15
198704,70-79F,12
198704,80-89F,3
198704,90-99F,0
198704,>100F,0
198705,40-49F,0
198705,50-59F,0
198705,60-69F,16
198705,70-79F,10
198705,80-89F,3
198705,90-99F,2
198705,>100F,0
198706,40-49F,0
198706,50-59F,0
198706,60-69F,15
198706,70-79F,12
198706,80-89F,2
198706,90-99F,1
198706,>100F,0
198707,40-49F,0
198707,50-59F,0
198707,60-69F,7
198707,70-79F,20
198707,80-89F,4
198707,90-99F,0
198707,>100F,0
198708,40-49F,0
198708,50-59F,0
