,YearMonth,crime_sum,year,month
0,198001,9980.0,1980,01
1,198002,8962.0,1980,02
2,198003,9956.0,1980,03
3,198004,9331.0,1980,04
4,198005,9839.0,1980,05
5,198006,9834.0,1980,06
6,198007,9588.0,1980,07
7,198008,10320.0,1980,08
8,198009,9356.0,1980,09
9,198010,9825.0,1980,10
10,198011,9402.0,1980,11
11,198012,10309.0,1980,12
12,198101,10375.0,1981,01
13,198102,10229.0,1981,02
14,198103,10623.0,1981,03
15,198104,9754.0,1981,04
16,198105,10077.0,1981,05
17,198106,9599.0,1981,06
18,198107,9674.0,1981,07
19,198108,10099.0,1981,08
20,198109,9514.0,1981,09
21,198110,10065.0,1981,10
22,198111,9799.0,1981,11
23,198112,9836.0,1981,12
24,198201,9511.0,1982,01
25,198202,9222.0,1982,02
26,198203,9371.0,1982,03
27,198204,9632.0,1982,04
28,198205,9411.0,1982,05
29,198206,9582.0,1982,06
30,198207,9527.0,1982,07
31,198208,9887.0,1982,08
32,198209,9263.0,1982,09
33,198210,9852.0,1982,10
34,198211,9221.0,1982,11
35,198212,9451.0,1982,12
36,198301,9877.0,1983,01
37,198302,8815.0,1983,02
38,198303,9333.0,1983,03
39,198304,8371.0,1983,04
40,198305,8434.0,1983,05
41,198306,8583.0,1983,06
42,198307,9031.0,1983,07
43,198308,9303.0,1983,08
44,198309,8667.0,1983,09
45,198310,8987.0,1983,10
46,198311,8601.0,1983,11
47,198312,8992.0,1983,12
48,198401,8916.0,1984,01
49,198402,8393.0,1984,02
50,198403,8809.0,1984,03
51,198404,8316.0,1984,04
52,198405,8609.0,1984,05
53,198406,8939.0,1984,06
54,198407,9160.0,1984,07
55,198408,9140.0,1984,08
56,198409,8818.0,1984,09
57,198410,9463.0,1984,10
58,198411,9150.0,1984,11
59,198412,9620.0,1984,12
60,198501,9614.0,1985,01
61,198502,9399.0,1985,02
62,198503,9681.0,1985,03
63,198504,9303.0,1985,04
64,198505,9263.0,1985,05
65,198506,8657.0,1985,06
66,198507,9627.0,1985,07
