,YearMonth,crime_sum,year,month
0,198001,9479.0,1980,01
1,198002,8528.0,1980,02
2,198003,9527.0,1980,03
3,198004,8892.0,1980,04
4,198005,9429.0,1980,05
5,198006,9416.0,1980,06
6,198007,9045.0,1980,07
7,198008,9816.0,1980,08
8,198009,8926.0,1980,09
9,198010,9336.0,1980,10
10,198011,8949.0,1980,11
11,198012,9838.0,1980,12
12,198101,9868.0,1981,01
13,198102,9770.0,1981,02
14,198103,10144.0,1981,03
15,198104,9355.0,1981,04
16,198105,9615.0,1981,05
17,198106,9208.0,1981,06
18,198107,9242.0,1981,07
19,198108,9611.0,1981,08
20,198109,9102.0,1981,09
21,198110,9625.0,1981,10
22,198111,9364.0,1981,11
23,198112,9400.0,1981,12
24,198201,9084.0,1982,01
25,198202,8677.0,1982,02
26,198203,8831.0,1982,03
27,198204,9093.0,1982,04
28,198205,8924.0,1982,05
29,198206,8975.0,1982,06
30,198207,9021.0,1982,07
31,198208,9419.0,1982,08
32,198209,8815.0,1982,09
33,198210,9346.0,1982,10
34,198211,8758.0,1982,11
35,198212,8966.0,1982,12
36,198301,9411.0,1983,01
37,198302,8416.0,1983,02
38,198303,8852.0,1983,03
39,198304,7979.0,1983,04
40,198305,8006.0,1983,05
41,198306,8195.0,1983,06
42,198307,8596.0,1983,07
43,198308,8844.0,1983,08
44,198309,8261.0,1983,09
45,198310,8514.0,1983,10
46,198311,8142.0,1983,11
47,198312,8590.0,1983,12
48,198401,8512.0,1984,01
49,198402,8015.0,1984,02
50,198403,8370.0,1984,03
51,198404,7938.0,1984,04
52,198405,8216.0,1984,05
53,198406,8514.0,1984,06
54,198407,8724.0,1984,07
55,198408,8712.0,1984,08
56,198409,8383.0,1984,09
57,198410,9002.0,1984,10
58,198411,8770.0,1984,11
59,198412,9168.0,1984,12
60,198501,9156.0,1985,01
61,198502,8932.0,1985,02
62,198503,9144.0,1985,03
63,198504,8846.0,1985,04
64,198505,8748.0,1985,05
65,198506,8151.0,1985,06
66,198507,9103.0,1985,07
67,198508,9260.0,1985,08
68,198509,8958.0,1985,09
69,198510,9154.0,1985,10
70,198511,8326.0,1985,11
71,198512,9002.0,1985,12
72,198601,9734.0,1986,01
73,198602,8604.0,1986,02
74,198603,9523.0,1986,03
75,198604,9143.0,1986,04
76,198605,8787.0,1986,05
77,198606,9239.0,1986,06
78,198607,10095.0,1986,07
79,198608,9863.0,1986,08
80,198609,9659.0,1986,09
81,198610,9313.0,1986,10
82,198611,9218.0,1986,11
83,198612,9685.0,1986,12
84,198701,9521.0,1987,01
85,198702,9616.0,1987,02
86,198703,10127.0,1987,03
87,198704,9219.0,1987,04
88,198705,8871.0,1987,05
89,198706,9100.0,1987,06
90,198707,9312.0,1987,07
91,198708,9105.0,1987,08
92,198709,8484.0,1987,09
93,198710,9134.0,1987,10
94,198711,8813.0,1987,11
95,198712,9279.0,1987,12
96,198801,9603.0,1988,01
97,198802,9169.0,1988,02
98,198803,9728.0,1988,03
99,198804,8832.0,1988,04
100,198805,9701.0,1988,05
101,198806,9272.0,1988,06
102,198807,10047.0,1988,07
103,198808,9988.0,1988,08
104,198809,9434.0,1988,09
105,198810,9951.0,1988,10
106,198811,9792.0,1988,11
107,198812,9512.0,1988,12
108,198901,9732.0,1989,01
109,198902,9110.0,1989,02
110,198903,9971.0,1989,03
111,198904,9331.0,1989,04
112,198905,9455.0,1989,05
113,198906,9539.0,1989,06
114,198907,10479.0,1989,07
115,198908,10226.0,1989,08
116,198909,9253.0,1989,09
117,198910,9387.0,1989,10
118,198911,9055.0,1989,11
119,198912,8556.0,1989,12
120,199001,9192.0,1990,01
121,199002,8577.0,1990,02
122,199003,8772.0,1990,03
123,199004,8577.0,1990,04
124,199005,8662.0,1990,05
125,199006,8101.0,1990,06
126,199007,9178.0,1990,07
127,199008,8947.0,1990,08
128,199009,8918.0,1990,09
129,199010,9380.0,1990,10
130,199011,8789.0,1990,11
131,199012,8811.0,1990,12
132,199101,9643.0,1991,01
133,199102,9133.0,1991,02
134,199103,9913.0,1991,03
135,199104,9517.0,1991,04
136,199105,9635.0,1991,05
137,199106,9162.0,1991,06
138,199107,10204.0,1991,07
139,199108,10328.0,1991,08
140,199109,10234.0,1991,09
141,199110,10439.0,1991,10
142,199111,10322.0,1991,11
143,199112,10312.0,1991,12
144,199201,10724.0,1992,01
145,199202,9858.0,1992,02
146,199203,10817.0,1992,03
147,199204,9623.0,1992,04
148,199205,10241.0,1992,05
149,199206,10269.0,1992,06
150,199207,10340.0,1992,07
151,199208,10016.0,1992,08
152,199209,8995.0,1992,09
153,199210,9714.0,1992,10
154,199211,9598.0,1992,11
155,199212,9001.0,1992,12
156,199301,9844.0,1993,01
157,199302,8929.0,1993,02
158,199303,10593.0,1993,03
159,199304,9812.0,1993,04
160,199305,9838.0,1993,05
161,199306,9579.0,1993,06
162,199307,9958.0,1993,07
163,199308,10512.0,1993,08
164,199309,9745.0,1993,09
165,199310,9980.0,1993,10
166,199311,9465.0,1993,11
167,199312,9545.0,1993,12
168,199401,9789.0,1994,01
169,199402,8984.0,1994,02
170,199403,9752.0,1994,03
171,199404,9120.0,1994,04
172,199405,9592.0,1994,05
173,199406,9356.0,1994,06
174,199407,9581.0,1994,07
175,199408,9678.0,1994,08
176,199409,9246.0,1994,09
177,199410,9763.0,1994,10
178,199411,9018.0,1994,11
179,199412,9162.0,1994,12
180,199501,5727.0,1995,01
181,199502,5090.0,1995,02
182,199503,5471.0,1995,03
183,199504,5212.0,1995,04
184,199505,5344.0,1995,05
185,199506,5386.0,1995,06
186,199507,5743.0,1995,07
187,199508,5952.0,1995,08
188,199509,5459.0,1995,09
189,199510,5530.0,1995,10
190,199511,5436.0,1995,11
191,199512,5147.0,1995,12
192,199601,9171.0,1996,01
193,199602,8614.0,1996,02
194,199603,9193.0,1996,03
195,199604,8705.0,1996,04
196,199605,8391.0,1996,05
197,199606,8406.0,1996,06
198,199607,9026.0,1996,07
199,199608,8810.0,1996,08
200,199609,8723.0,1996,09
201,199610,8948.0,1996,10
202,199611,8458.0,1996,11
203,199612,8213.0,1996,12
204,199701,7981.0,1997,01
205,199702,8274.0,1997,02
206,199703,8665.0,1997,03
207,199704,9016.0,1997,04
208,199705,8929.0,1997,05
209,199706,8784.0,1997,06
210,199707,9321.0,1997,07
211,199708,8931.0,1997,08
212,199709,8152.0,1997,09
213,199710,8850.0,1997,10
214,199711,8181.0,1997,11
215,199712,8473.0,1997,12
216,199801,8520.0,1998,01
217,199802,8065.0,1998,02
218,199803,8858.0,1998,03
219,199804,8024.0,1998,04
220,199805,8483.0,1998,05
221,199806,8076.0,1998,06
222,199807,8030.0,1998,07
223,199808,7681.0,1998,08
224,199809,8790.0,1998,09
225,199810,8262.0,1998,10
226,199811,7348.0,1998,11
227,199812,8760.0,1998,12
228,199901,7598.0,1999,01
229,199902,7047.0,1999,02
230,199903,7744.0,1999,03
231,199904,7763.0,1999,04
232,199905,6687.0,1999,05
233,199906,6499.0,1999,06
234,199907,7795.0,1999,07
235,199908,6630.0,1999,08
236,199909,5052.0,1999,09
237,199910,7083.0,1999,10
238,199911,6734.0,1999,11
239,199912,9676.0,1999,12
240,200001,6616.0,2000,01
241,200002,5616.0,2000,02
242,200003,7187.0,2000,03
243,200004,6457.0,2000,04
244,200005,7481.0,2000,05
245,200006,6509.0,2000,06
246,200007,6671.0,2000,07
247,200008,6295.0,2000,08
248,200009,5535.0,2000,09
249,200010,6594.0,2000,10
250,200011,6550.0,2000,11
251,200012,6170.0,2000,12
252,200101,7014.0,2001,01
253,200102,6071.0,2001,02
254,200103,6108.0,2001,03
255,200104,6786.0,2001,04
256,200105,7170.0,2001,05
257,200106,6344.0,2001,06
258,200107,7550.0,2001,07
259,200108,6577.0,2001,08
260,200109,6486.0,2001,09
261,200110,8241.0,2001,10
262,200111,7592.0,2001,11
263,200112,8448.0,2001,12
264,200201,8800.0,2002,01
265,200202,6957.0,2002,02
266,200203,7164.0,2002,03
267,200204,6676.0,2002,04
268,200205,7339.0,2002,05
269,200206,7606.0,2002,06
270,200207,6972.0,2002,07
271,200208,7064.0,2002,08
272,200209,7130.0,2002,09
273,200210,7307.0,2002,10
274,200211,6823.0,2002,11
275,200212,6973.0,2002,12
276,200301,5919.0,2003,01
277,200302,6500.0,2003,02
278,200303,5379.0,2003,03
279,200304,6219.0,2003,04
280,200305,6866.0,2003,05
281,200306,6133.0,2003,06
282,200307,5009.0,2003,07
283,200308,5211.0,2003,08
284,200309,5746.0,2003,09
285,200310,7074.0,2003,10
286,200311,10248.0,2003,11
287,200312,15397.0,2003,12
288,200401,4281.0,2004,01
289,200402,4015.0,2004,02
290,200403,7752.0,2004,03
291,200404,9270.0,2004,04
292,200405,9336.0,2004,05
293,200406,6881.0,2004,06
294,200407,7225.0,2004,07
295,200408,6991.0,2004,08
296,200409,6666.0,2004,09
297,200410,7230.0,2004,10
298,200411,6468.0,2004,11
299,200412,6601.0,2004,12
300,200501,7133.0,2005,01
301,200502,6018.0,2005,02
302,200503,6949.0,2005,03
303,200504,6746.0,2005,04
304,200505,6863.0,2005,05
305,200506,6571.0,2005,06
306,200507,6353.0,2005,07
307,200508,6504.0,2005,08
308,200509,6522.0,2005,09
309,200510,7000.0,2005,10
310,200511,7321.0,2005,11
311,200512,7201.0,2005,12
312,200601,8053.0,2006,01
313,200602,6466.0,2006,02
314,200603,7347.0,2006,03
315,200604,7253.0,2006,04
316,200605,7607.0,2006,05
317,200606,7377.0,2006,06
318,200607,7297.0,2006,07
319,200608,7631.0,2006,08
320,200609,6938.0,2006,09
321,200610,7422.0,2006,10
322,200611,7339.0,2006,11
323,200612,7066.0,2006,12
324,200701,7307.0,2007,01
325,200702,6224.0,2007,02
326,200703,7297.0,2007,03
327,200704,7196.0,2007,04
328,200705,7664.0,2007,05
329,200706,6868.0,2007,06
330,200707,7124.0,2007,07
331,200708,7397.0,2007,08
332,200709,6929.0,2007,09
333,200710,7022.0,2007,10
334,200711,6649.0,2007,11
335,200712,6987.0,2007,12
336,200801,7249.0,2008,01
337,200802,6637.0,2008,02
338,200803,7054.0,2008,03
339,200804,7034.0,2008,04
340,200805,6749.0,2008,05
341,200806,6462.0,2008,06
342,200807,7054.0,2008,07
343,200808,6947.0,2008,08
344,200809,6447.0,2008,09
345,200810,6995.0,2008,10
346,200811,6335.0,2008,11
347,200812,6704.0,2008,12
348,200901,6837.0,2009,01
349,200902,6017.0,2009,02
350,200903,6800.0,2009,03
351,200904,6444.0,2009,04
352,200905,6610.0,2009,05
353,200906,6736.0,2009,06
354,200907,6507.0,2009,07
355,200908,6461.0,2009,08
356,200909,6201.0,2009,09
357,200910,6305.0,2009,10
358,200911,6120.0,2009,11
359,200912,6374.0,2009,12
